,ID,saldo_var30,var15,saldo_var5,ind_var30,var38,TARGET
0,1,0.0,23,0.0,0,39205.17,0
1,3,300.0,34,0.0,1,49278.03,0
2,4,3.0,23,3.0,1,67333.77,0
3,8,70.62,37,70.62,1,64007.97,0
4,10,135003.0,39,0.0,1,117310.979016494,0
5,13,0.0,23,0.0,0,87975.75,0
6,14,3.0,27,3.0,1,94956.66,0
7,18,3.0,26,3.0,1,251638.95,0
8,20,0.0,45,0.0,0,101962.02,0
9,23,3.0,25,3.0,1,356463.06,0
10,25,12748.23,42,0.0,1,125424.06,0
11,26,0.0,26,0.0,0,75368.52,0
12,29,90.0,51,90.0,1,122220.09,0
13,31,120000.0,43,0.0,1,118436.97,0
14,32,3358.74,33,0.0,1,95294.13,0
15,34,3.0,30,3.0,1,104403.87,0
16,36,0.0,44,0.0,0,117310.979016494,0
17,39,3079.05,36,3079.05,1,153014.13,0
18,42,9003.0,55,9003.0,1,168943.23,0
19,43,30.0,28,30.0,1,96601.14,0
20,45,0.0,23,0.0,0,69165.03,0
21,49,3.0,27,3.0,1,63445.56,0
22,51,37.56,35,7.5,1,117310.979016494,0
23,54,75.75,54,75.75,1,59575.62,0
24,56,0.0,42,0.0,0,117310.979016494,0
25,60,24633.84,40,0.0,1,78390.81,0
26,61,0.0,23,0.0,0,86262.21,0
27,66,0.0,25,0.0,0,55568.1,0
28,68,6.0,24,6.0,1,34880.28,0
29,74,67.56,23,67.56,1,126815.97,0
30,75,0.0,14,0.0,0,101789.79,0
31,77,0.0,66,0.0,0,63324.9,1
32,80,0.0,26,0.0,0,123113.46,0
33,82,240.3,25,240.3,1,60115.23,0
34,83,930.0,42,930.0,1,117310.979016494,0
35,84,0.0,23,0.0,0,66112.08,0
36,87,0.0,39,0.0,0,47546.46,0
37,88,49.02,39,49.02,1,117310.979016494,0
38,90,90.0,23,90.0,1,44631.63,0
39,91,3.0,24,3.0,1,75546.15,0
40,92,0.0,50,0.0,0,112968.33,0
41,93,90.0,22,90.0,1,150347.88,0
42,95,3.0,25,3.0,1,96674.94,0
43,101,3.0,24,3.0,1,56161.53,0
44,102,6.03,62,6.03,1,123380.37,0
45,105,0.0,23,0.0,0,90175.05,0
46,106,3.0,23,3.0,1,155235.3,0
47,107,27300.0,42,300.0,1,43998.48,0
48,109,90.0,24,90.0,1,114497.61,0
49,111,0.0,60,0.0,0,237000.24,0
50,113,144088.23,42,30.0,1,245388.78,0
51,115,90.0,22,90.0,1,76889.91,0
52,118,0.0,64,0.0,0,84896.85,0
53,122,27000.0,76,0.0,1,56913.06,0
54,125,3.0,26,3.0,1,55562.91,0
55,127,150.0,23,150.0,1,67685.46,0
56,130,15.0,40,15.0,1,44286.45,0
57,131,0.0,26,0.0,0,99522.72,0
58,132,66.63,31,66.63,1,101700.48,0
59,134,90.0,23,90.0,1,336550.11,0
60,135,3939.39,38,3939.39,1,149904.78,0
61,136,1434.42,41,1434.42,1,59325.75,0
62,137,0.0,23,0.0,0,51689.55,0
63,139,0.0,26,0.0,0,191661.84,0
64,140,3.0,25,3.0,1,169579.74,0
65,141,0.0,56,0.0,0,95834.85,0
66,142,3.0,26,3.0,1,39305.16,0
67,143,3.0,23,3.0,1,41807.67,0
68,144,0.0,23,0.0,0,165258.42,0
69,145,0.0,24,0.0,0,36490.74,0
70,146,90.0,23,90.0,1,117310.979016494,0
71,148,780.0,28,0.0,1,27443.34,0
72,150,0.0,35,0.0,0,65554.47,0
73,151,3.0,24,3.0,1,54182.85,0
74,152,0.0,25,0.0,0,150676.41,0
75,153,124740.72,51,0.0,1,41508.24,0
76,154,0.0,72,0.0,0,117310.979016494,0
77,155,90.0,25,90.0,1,105994.47,0
